PlayerId,CurrentTeamId,Nome,Time Atual,Data Nascimento,Nacionalidade,Posições
110154,1237,Memphis Depay,Corinthians,13-02-1994,Países Baixos,"['Meia Atacante (C', ' Esquerdo)', ' Atacante']"
432685,1237,Rodrigo Garro,Corinthians,04-01-1998,Argentina,['Meia Atacante (C)']
348261,1237,Yuri Alberto,Corinthians,18-03-2001,Brasil,"['Meia Atacante (Esquerdo)', ' Atacante']"
468006,1237,Matheus Bidu,Corinthians,04-05-1999,,"['Zagueiro (ZAEsquerdo)', ' Meio Campo (MEsquerdo)']"
442459,174,Carlos Miguel,Nottingham Forest,09-10-1998,Brasil,['Goleiro']
399247,1237,Hugo Souza,Corinthians,31-01-1999,Brasil,['Goleiro']
439650,1237,Wesley,Corinthians,05-03-2005,,['Meia Atacante (Esquerdo)']
98101,1237,André Ramalho,Corinthians,16-02-1992,Brasil,"['Zagueiro (MCDireito)', ' Meiocampista Defensivo']"
420319,1237,Raniele,Corinthians,31-12-1996,Brasil,"['Zagueiro (MCDireito)', ' Meiocampista Defensivo']"
398130,1237,Matheus França,Corinthians,08-09-2000,Brasil,"['Zagueiro (ZADireito)', ' Meio Campo (MDireito)']"
361471,1237,Cacá,Corinthians,25-04-1999,Brasil,['Zagueiro (MCDireito)']
436560,1237,Hugo,Corinthians,29-08-1997,,"['Zagueiro (ZAEsquerdo)', ' Meio Campo (MEsquerdo)']"
228061,1237,Ángel Romero,Corinthians,04-07-1992,Paraguai,"['Meia Atacante (Esquerdo', ' Direito)', ' Atacante']"
97635,1237,André Carrillo,Corinthians,14-06-1991,Peru,"['Meia Atacante (C', ' Esquerdo', ' Direito)']"
406274,994,Raul Gustavo,Ferencvaros,24-04-1999,,['Zagueiro (MCDireito)']
114595,1237,Gustavo Henrique,Corinthians,24-03-1993,Brasil,['Zagueiro (MCDireito)']
375861,1237,Talles Magno,Corinthians,26-06-2002,Brasil,"['Meia Atacante (C', ' Esquerdo)', ' Atacante']"
321849,1237,Charles,Corinthians,19-06-1996,Brasil,['Meiocampista Defensivo']
101395,1237,Igor Coronado,Corinthians,18-08-1992,Brasil,['Meia Atacante (C)']
417722,1237,Félix Torres,Corinthians,11-01-1997,Equador,['Zagueiro (MCDireito)']
40345,1230,Cássio,Cruzeiro,06-06-1987,Brasil,['Goleiro']
441410,1237,Breno Bidon,Corinthians,20-02-2005,Brasil,['Meiocampista Defensivo']
137129,1237,Alex Santana,Corinthians,13-05-1995,Brasil,['Meio Campo (MC)']
102166,1237,Fágner,Corinthians,11-06-1989,Brasil,"['Zagueiro (ZADireito)', ' Meio Campo (MDireito)']"
409627,1237,Matheus Donelli,Corinthians,17-05-2002,Brasil,['Goleiro']
471633,1237,Ryan Gustavo,Corinthians,15-07-2003,,['Meio Campo (MC)']
393097,1237,José Martínez,Corinthians,07-08-1994,,['Meiocampista Defensivo']
331611,1238,Gustavo Silva,Vitoria,07-09-1997,Brasil,"['Meia Atacante (Esquerdo', ' Direito)']"
110424,1237,Pedro Henrique,Corinthians,16-06-1990,Brasil,"['Meia Atacante (Esquerdo', ' Direito)', ' Atacante']"
478349,950,Gabriel Moscardo,Reims,28-09-2005,Brasil,['Meiocampista Defensivo']
459091,5438,Arthur Sousa,Red Bull Bragantino,12-03-2003,,['Atacante']
366428,1235,Fausto Vera,Atletico MG,26-03-2000,Argentina,['Meiocampista Defensivo']
36399,1237,Paulinho,Corinthians,25-07-1988,Brasil,"['Meio Campo (MC', ' MDireito)']"
436627,1237,Giovane,Corinthians,24-11-2003,,['Atacante']
478348,1237,João Pedro,Corinthians,31-12-2003,,['Defensor']
398132,1237,Pedro Raúl,Corinthians,05-11-1996,Brasil,['Atacante']
478350,1237,Kayke,Corinthians,28-04-2004,,['Atacante']
364717,1237,Caetano,Corinthians,24-06-1999,Brasil,['Zagueiro (MCDireito)']
141293,1237,Héctor Hernández,Corinthians,14-09-1995,Espanha,['Atacante']
441411,1237,Léo Mana,Corinthians,06-04-2004,,['Zagueiro (ZADireito)']
410869,1237,Matheus Araújo,Corinthians,22-05-2002,Brasil,['Meiocampista']
317789,1237,Maycon,Corinthians,15-07-1997,Brasil,['Meio Campo (MC)']
440960,1237,Guilherme Biro,Corinthians,20-04-2004,Brasil,['Meia Atacante (Direito)']
398130,1237,Matheus França,Corinthians,08-09-2000,Brasil,"['Zagueiro (ZADireito)', ' Meio Campo (MDireito)']"
467987,1221,Gabriel Xavier,Bahia,06-05-2001,Brasil,['Zagueiro (MCDireito)']
119542,1221,Gilberto,Bahia,07-03-1993,Brasil,"['Zagueiro (ZADireito)', ' Meio Campo (MDireito)']"
397517,1221,Luciano Juba,Bahia,29-08-1999,,"['Zagueiro (ZAEsquerdo)', ' Meio Campo (MEsquerdo)']"
101467,1221,Éverton Ribeiro,Bahia,10-04-1989,Brasil,"['Meia Atacante (C', ' Esquerdo', ' Direito)']"
134681,1221,Marcos Felipe,Bahia,13-04-1996,Brasil,['Goleiro']
88112,1221,Santiago Arias,Bahia,13-01-1992,Colômbia,"['Zagueiro (ZADireito)', ' Meio Campo (MDireito)']"
342058,1221,Cauly,Bahia,15-09-1995,Brasil,"['Meia Atacante (C', ' Esquerdo', ' Direito)', ' Atacante']"
279581,1221,David Duarte,Bahia,24-01-1995,Brasil,['Zagueiro (MCDireito)']
355659,1221,Jean Lucas,Bahia,22-06-1998,Brasil,['Meio Campo (MC)']
