Nome do Jogador	ID do Jogador	URL
Memphis Depay	110154	https://br.whoscored.com/players/110154/show/memphis-depay
Rodrigo Garro	432685	https://br.whoscored.com/players/432685/show/rodrigo-garro
Yuri Alberto	348261	https://br.whoscored.com/players/348261/show/yuri-alberto
Matheus Bidu	468006	https://br.whoscored.com/players/468006/show/matheus-bidu
Carlos Miguel	442459	https://br.whoscored.com/players/442459/show/carlos-miguel
Hugo Souza	399247	https://br.whoscored.com/players/399247/show/hugo-souza
Wesley	439650	https://br.whoscored.com/players/439650/show/wesley
André Ramalho	98101	https://br.whoscored.com/players/98101/show/andr%C3%A9-ramalho
Raniele	420319	https://br.whoscored.com/players/420319/show/raniele
Matheus França	398130	https://br.whoscored.com/players/398130/show/matheus-fran%C3%A7a
Cacá	361471	https://br.whoscored.com/players/361471/show/cac%C3%A1
Hugo	436560	https://br.whoscored.com/players/436560/show/hugo
Ángel Romero	228061	https://br.whoscored.com/players/228061/show/%C3%A1ngel-romero
André Carrillo	97635	https://br.whoscored.com/players/97635/show/andr%C3%A9-carrillo
Raul Gustavo	406274	https://br.whoscored.com/players/406274/show/raul-gustavo
Gustavo Henrique	114595	https://br.whoscored.com/players/114595/show/gustavo-henrique
Talles Magno	375861	https://br.whoscored.com/players/375861/show/talles-magno
Charles	321849	https://br.whoscored.com/players/321849/show/charles
Igor Coronado	101395	https://br.whoscored.com/players/101395/show/igor-coronado
Félix Torres	417722	https://br.whoscored.com/players/417722/show/f%C3%A9lix-torres
Cássio	40345	https://br.whoscored.com/players/40345/show/c%C3%A1ssio
Breno Bidon	441410	https://br.whoscored.com/players/441410/show/breno-bidon
Alex Santana	137129	https://br.whoscored.com/players/137129/show/alex-santana
Fágner	102166	https://br.whoscored.com/players/102166/show/f%C3%A1gner
Matheus Donelli	409627	https://br.whoscored.com/players/409627/show/matheus-donelli
Ryan Gustavo	471633	https://br.whoscored.com/players/471633/show/ryan-gustavo
José Martínez	393097	https://br.whoscored.com/players/393097/show/jos%C3%A9-mart%C3%ADnez
Gustavo Silva	331611	https://br.whoscored.com/players/331611/show/gustavo-silva
Pedro Henrique	110424	https://br.whoscored.com/players/110424/show/pedro-henrique
Gabriel Moscardo	478349	https://br.whoscored.com/players/478349/show/gabriel-moscardo
Arthur Sousa	459091	https://br.whoscored.com/players/459091/show/arthur-sousa
Fausto Vera	366428	https://br.whoscored.com/players/366428/show/fausto-vera
Paulinho	36399	https://br.whoscored.com/players/36399/show/paulinho
Giovane	436627	https://br.whoscored.com/players/436627/show/giovane
João Pedro	478348	https://br.whoscored.com/players/478348/show/jo%C3%A3o-pedro
Pedro Raúl	398132	https://br.whoscored.com/players/398132/show/pedro-ra%C3%BAl
Kayke	478350	https://br.whoscored.com/players/478350/show/kayke
Caetano	364717	https://br.whoscored.com/players/364717/show/caetano
Héctor Hernández	141293	https://br.whoscored.com/players/141293/show/h%C3%A9ctor-hern%C3%A1ndez
Léo Mana	441411	https://br.whoscored.com/players/441411/show/l%C3%A9o-mana
Matheus Araújo	410869	https://br.whoscored.com/players/410869/show/matheus-ara%C3%BAjo
Maycon	317789	https://br.whoscored.com/players/317789/show/maycon
Guilherme Biro	440960	https://br.whoscored.com/players/440960/show/guilherme-biro
Matheuzinho	398130	https://br.whoscored.com/players/398130/show/matheuzinho
Gabriel Xavier	467987	https://br.whoscored.com/players/467987/show/gabriel-xavier
Gilberto	119542	https://br.whoscored.com/players/119542/show/gilberto
Luciano Juba	397517	https://br.whoscored.com/players/397517/show/luciano-juba
Éverton Ribeiro	101467	https://br.whoscored.com/players/101467/show/%C3%A9verton-ribeiro
Marcos Felipe	134681	https://br.whoscored.com/players/134681/show/marcos-felipe
Santiago Arias	88112	https://br.whoscored.com/players/88112/show/santiago-arias
Cauly	342058	https://br.whoscored.com/players/342058/show/cauly
David Duarte	279581	https://br.whoscored.com/players/279581/show/david-duarte
Jean Lucas	355659	https://br.whoscored.com/players/355659/show/jean-lucas
Thaciano	298449	https://br.whoscored.com/players/298449/show/thaciano
Everaldo	108660	https://br.whoscored.com/players/108660/show/everaldo
Luciano Rodríguez	477777	https://br.whoscored.com/players/477777/show/luciano-rodr%C3%ADguez
Danilo Fernandes	74485	https://br.whoscored.com/players/74485/show/danilo-fernandes
Kanu	337247	https://br.whoscored.com/players/337247/show/kanu
Ademir	356785	https://br.whoscored.com/players/356785/show/ademir
Biel	416802	https://br.whoscored.com/players/416802/show/biel
Caio Alexandre	388735	https://br.whoscored.com/players/388735/show/caio-alexandre
Rezende	467985	https://br.whoscored.com/players/467985/show/rezende
Óscar Estupiñán	343090	https://br.whoscored.com/players/343090/show/%C3%B3scar-estupi%C3%B1%C3%A1n
Carlos de Pena	296379	https://br.whoscored.com/players/296379/show/carlos-de-pena
Víctor Cuesta	125957	https://br.whoscored.com/players/125957/show/v%C3%ADctor-cuesta
Iago Borduchi	355705	https://br.whoscored.com/players/355705/show/iago-borduchi
Nicolás Acevedo	396067	https://br.whoscored.com/players/396067/show/nicol%C3%A1s-acevedo
Adriel	417913	https://br.whoscored.com/players/417913/show/adriel
Rafael Ratão	136727	https://br.whoscored.com/players/136727/show/rafael-rat%C3%A3o
Tiago	532977	https://br.whoscored.com/players/532977/show/tiago
Cicinho	110440	https://br.whoscored.com/players/110440/show/cicinho
Ruan Pablo	534217	https://br.whoscored.com/players/534217/show/ruan-pablo
Yago Felipe	243275	https://br.whoscored.com/players/243275/show/yago-felipe
Vitor Hugo	111227	https://br.whoscored.com/players/111227/show/vitor-hugo
Marcos Victor	436527	https://br.whoscored.com/players/436527/show/marcos-victor
Lyncon	471644	https://br.whoscored.com/players/471644/show/lyncon
Pablo Vegetti	303689	https://br.whoscored.com/players/303689/show/pablo-vegetti
Lucas Piton	373513	https://br.whoscored.com/players/373513/show/lucas-piton
Gabriel	472121	https://br.whoscored.com/players/472121/show/gabriel
Paulo Henrique	416790	https://br.whoscored.com/players/416790/show/paulo-henrique
Adson	416895	https://br.whoscored.com/players/416895/show/adson
Maicon	43931	https://br.whoscored.com/players/43931/show/maicon
Léo Jardim	241049	https://br.whoscored.com/players/241049/show/l%C3%A9o-jardim
Mateus Carvalho	482037	https://br.whoscored.com/players/482037/show/mateus-carvalho
David	317762	https://br.whoscored.com/players/317762/show/david
Alex Teixeira	40748	https://br.whoscored.com/players/40748/show/alex-teixeira
Victor Luís	149574	https://br.whoscored.com/players/149574/show/victor-lu%C3%ADs
João Victor	373848	https://br.whoscored.com/players/373848/show/jo%C3%A3o-victor
Dimitri Payet	14058	https://br.whoscored.com/players/14058/show/dimitri-payet
Hugo Moura	373449	https://br.whoscored.com/players/373449/show/hugo-moura
Léo	137316	https://br.whoscored.com/players/137316/show/l%C3%A9o
Philippe Coutinho	80767	https://br.whoscored.com/players/80767/show/philippe-coutinho
José Rodríguez	388576	https://br.whoscored.com/players/388576/show/jos%C3%A9-rodr%C3%ADguez
Emerson Rodríguez	433514	https://br.whoscored.com/players/433514/show/emerson-rodr%C3%ADguez
João Pedro	515816	https://br.whoscored.com/players/515816/show/jo%C3%A3o-pedro
Guilherme Estrella	515814	https://br.whoscored.com/players/515814/show/guilherme-estrella
Juan Sforza	405839	https://br.whoscored.com/players/405839/show/juan-sforza
Rossi	337815	https://br.whoscored.com/players/337815/show/rossi
Jair	137484	https://br.whoscored.com/players/137484/show/jair
Leandrinho	515815	https://br.whoscored.com/players/515815/show/leandrinho
Rayan	472122	https://br.whoscored.com/players/472122/show/rayan
Pablo Galdames	142436	https://br.whoscored.com/players/142436/show/pablo-galdames
